nodeid,shapeid,x,y
211,9,-84.2159881,30.4007578
212,9,-84.2159573,30.4008604
213,9,-84.21592,30.4009911
214,9,-84.2158952,30.4010504
215,9,-84.2158697,30.4011071
216,9,-84.2157854,30.4013529
217,9,-84.2156895,30.4016108
218,9,-84.2156862,30.4016248
219,9,-84.2156643,30.4017158
220,9,-84.2156575,30.4017626
221,9,-84.2156444,30.4018516
222,9,-84.2156368,30.4019383
223,9,-84.2156393,30.4020281
224,9,-84.2156434,30.4020808
225,9,-84.215646,30.402114
226,9,-84.215664,30.402214
227,9,-84.2156693,30.4022346
228,9,-84.215689,30.402311
229,9,-84.215722,30.402406
230,9,-84.2157565,30.4024808
231,9,-84.215764,30.402497
232,9,-84.2157762,30.4025181
233,9,-84.215815,30.402585
234,9,-84.2158472,30.4026339
235,9,-84.215871,30.40267
236,9,-84.215933,30.402753
237,9,-84.2159749,30.4028016
238,9,-84.216002,30.402833
239,9,-84.2160469,30.4028779
240,9,-84.216077,30.402908
241,9,-84.2164013,30.4031994
242,9,-84.2166335,30.4034104
243,9,-84.217031,30.403784
244,9,-84.2173671,30.4040888
245,9,-84.2175527,30.4042579
246,9,-84.2178265,30.4045073
247,9,-84.2184182,30.4050465
248,9,-84.2184372,30.4050658
249,9,-84.218458,30.405087
250,9,-84.218523,30.405158
251,9,-84.2185494,30.4051917
252,9,-84.218581,30.405232
253,9,-84.2186193,30.4052926
254,9,-84.218631,30.405311
255,9,-84.2186575,30.405364
256,9,-84.218672,30.405393
257,9,-84.218708,30.405478
258,9,-84.218737,30.405567
259,9,-84.218749,30.4056101
260,9,-84.2187647,30.4056513
261,9,-84.218771,30.405756
262,9,-84.218776,30.405856
263,9,-84.21876,30.406112
264,9,-84.2187411,30.4064249
265,9,-84.2187333,30.406555
266,9,-84.21871,30.4069408
267,9,-84.2187052,30.4070194
268,9,-84.2186991,30.4071218
269,9,-84.2186738,30.4075394
270,9,-84.218672,30.40757
271,9,-84.2186602,30.4077289
272,9,-84.2186563,30.4078741
273,9,-84.2186765,30.4080975
274,9,-84.218691,30.408257
275,9,-84.2187261,30.4087277
276,9,-84.2187261,30.4088609
277,9,-84.218708,30.4091009
278,9,-84.2186749,30.4095396
279,9,-84.2186459,30.4099229
280,9,-84.2186152,30.4103159
281,9,-84.218611,30.4103596
282,9,-84.2185688,30.4108022
283,9,-84.2184858,30.411585
284,9,-84.2184537,30.4119321
285,9,-84.2184278,30.4121097
286,10,-84.2207494,30.3861833
287,10,-84.2206726,30.3861232
288,10,-84.2205836,30.3860579
289,10,-84.2205065,30.3860104
290,10,-84.2204072,30.3859608
291,10,-84.2202891,30.3859068
292,10,-84.2201601,30.3858665
