"shapeid","highway","source","foot","building","service","addr:street","addr:housenumber","barrier","addr:city","addr:country","addr:postcode","name","amenity","FIXME","surface","natural","maxspeed","oneway","tiger:cfcc","tiger:county","tiger:name_base","tiger:name_type","golf","leisure","building:levels","tiger:zip_left","cycleway","tiger:zip_right","access","lanes","tiger:source","tiger:tlid","tiger:upload_uuid","tiger:reviewed","office","sport","tiger:separated","landuse","is_in","bridge","waterway","website","cycleway:right","tiger:name_base_1","tiger:name_type_1","HFCS","basin","building:material","roof:shape","addr:housename","fence_type","name_1","tiger:zip","tunnel","admin_level","boundary","capacity:disabled","cfcc","county","hgv","noexit","operator","ref","sidewalk","unsigned_ref","addr:state","area","building:colour","building:name","dispensing","entrance","footway","hazard:bicycle","junction","max","place","power","rcn","tracktype","wikipedia"
"21","residential","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Biltmore Avenue","NULL","NULL","NULL","NULL","30 mph","NULL","A41","Leon, FL","Biltmore","Ave","NULL","NULL","NULL","32311","lane","32311","NULL","NULL","tiger_import_dch_v0.6_20070809","82902961:82902974:82902979:82902984:82902994:82903056:82903012:82868490:82903021:82902947","bulk_upload.pl-b0372e8b-f3f6-4d38-909e-2841e7f69b68","NULL","NULL","NULL","no","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"22","residential","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Cunard Drive","NULL","NULL","NULL","NULL","NULL","NULL","A41","Leon, FL","Cunard","Dr","NULL","NULL","NULL","32311","NULL","32311","NULL","NULL","NULL","NULL","NULL","no","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"23","residential","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Verdura Point Drive","NULL","NULL","NULL","NULL","NULL","yes","A45","Leon, FL","Verdura Point","Dr","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","yes","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"24","residential","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Verdura Point Drive","NULL","NULL","NULL","NULL","NULL","yes","A45","Leon, FL","Verdura Point","Dr","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","yes","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"25","residential","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Southwood Plantation Road","NULL","NULL","paved","NULL","NULL","NULL","A41","Leon, FL","Southwood Plantation","Rd","NULL","NULL","NULL","32311","NULL","32311","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"26","residential","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Alcott Drive","NULL","NULL","NULL","NULL","NULL","NULL","A41","Leon, FL","Alcott","Dr","NULL","NULL","NULL","32399","NULL","32399","NULL","NULL","tiger_import_dch_v0.6_20070809","82893500","bulk_upload.pl-b0372e8b-f3f6-4d38-909e-2841e7f69b68","NULL","NULL","NULL","no","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"27","residential","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Barcelona Avenue","NULL","NULL","paved","NULL","NULL","NULL","A41","Leon, FL","Barcelona","Ln","NULL","NULL","NULL","32311","NULL","32311","NULL","NULL","tiger_import_dch_v0.6_20070809","82879672:82879679:82880141:82880142","bulk_upload.pl-b0372e8b-f3f6-4d38-909e-2841e7f69b68","yes","NULL","NULL","no","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"28","residential","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Brookhaven Court","NULL","NULL","NULL","NULL","NULL","NULL","A41","Leon, FL","Brookhaven","Ct","NULL","NULL","NULL","32311","NULL","32311","NULL","NULL","NULL","NULL","NULL","no","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"29","residential","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Sunlight Terrace","NULL","NULL","NULL","NULL","NULL","NULL","A41","Leon, FL","Sunlight","Ter","NULL","NULL","NULL","32305","NULL","32305","NULL","NULL","tiger_import_dch_v0.6_20070809","82894973","bulk_upload.pl-b0372e8b-f3f6-4d38-909e-2841e7f69b68","NULL","NULL","NULL","no","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"30","residential","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","New Dawn Road","NULL","NULL","NULL","NULL","25 mph","NULL","A41","Leon, FL","New Dawn","Rd","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
